,post_title,summary_post_content
0,ถึงคนที่มีทุกอย่างอย่างที่ฝันไว้แล้ว..ว่าจริงหรือ ที่เงินมันซื้อความสุขได้,อยากซื้ออะไรก็ซื้อได้โดยไม่ต้องกังวลเรื่องเงิน ตอนที่มองเห็นธุรกิจตัวเองมันเติบโตในยุคเริ่มต้น และมีจุดที่ทำให้จัดการกับชีวิตตัวเองได้ ได้พาแม่ไปเที่ยวต่างประเทศอย่างที่เคยฝันเอาไว้ วันไหนอยากไปทำงานก็ไปทำ(เพราะงานที่ทำอยู่นั้นมีความสุขดี) อยากไปเที่ยวต่างประเทศซักครั้ง มีธุรกิจที่ทำรายได้ให้ทุกวันโดยที่แทบไม่ต้องทำงานเลยก็ได้ ตอนที่ไปต่างประเทศครั้งแรก บางทีก็ไม่รู้เหมือนกันว่าจะเอายังไงต่อไปดี หรือไปเที่ยวต่างประเทศได้จนเป็นเรื่องปกติ ก็สามารถมีครบทุกอย่างที่ตัวเองเคยฝันไว้แทบทั้งหมด ไม่รู้จะต้องทำอย่างไร สามารถกินอาหารดีๆ เวลาที่รู้สึกว่าตัวเองไม่มีความสุขมาก ว่าหลายๆครั้งมันรู้สึกเหมือนความสุขมันไม่เต็ม ในตอนที่ทุกอย่างมันเริ่มต้น ตอนที่สร้างตัวได้ครั้งแรก ตอนที่เรามีเงินล้านแรก มันซื้อความสุขได้ จะไปเที่ยวก็ขี้เกียจ แฟนเป็นคนที่ใช้ชีวิตได้แบบมีความสุขมากกก ที่พอเราเดินมาถึงจุดๆหนึ่งในชีวิตในแบบที่เราอยากจะเป็น ไม่รู้อีกแล้ว ซื้อของที่อยากได้ เลยเหมือนเป็นจังหวะชีวิตที่เคว้งคว้างหน่อยๆ ก็นรู้ว่าหลายๆอย่างคงไม่ได้อยากได้จริงๆ ขี้เกียจกิน ก็ไม่ได้เรียนต่อเพราะหัวไม่ดี ว่าชีวิตมันมีความหมาย ตอนที่เริ่มจากไม่มี หรือตอนที่มีทุกอย่างแล้ว ผมคิดถึงเรื่องนี้มาหลายครั้ง ไม่รู้ทำไม ด้วยน้ำพักน้ำแรงตัวเอง ด้วยการไปเที่ยวให้มากขึ้น ก็เหนื่อยหน่ายกับการไปเที่ยว หรือมองดูของที่ซื้อมาแล้วก็เท่านั้น จะซื้อโน่นนี่ จัดการความคิดตัวเองให้ได้ แต่ผมก็ทำตามไม่ได้ซักที กับเรื่องที่รบกวนอยู่ในหัว ไม่รู้ว่ามีใครเป็นแบบนี้กันบ้างรึเปล่าครับ หรือแบบที่เราเคยคิดเอาไว้ซักเท่าไหร่ ชีวิตนับจากนั้น ผ่านมาอีกหกเจ็ดปี อยากนอนดูซีรี่ย์อยู่บ้านก็ไม่ไป อยากกินอะไร ก็กินได้เลย จะกินอะไร ซึ่งฟังเหมือนเป็นเรื่องง่าย แวบขึ้นมาในหัวเป็นพักๆ ผมเกิดมาในต่างจังหวัด ว่าอยากมีบ้าน ปี ทั้งบ้าน พร้อมๆกับที่สามารถใช้ชีวิต มีแฟนที่ดีมาก มาตลอดห้าปี ทุกวันนี้ก็สามารถใช้ชีวิตแบบที่อยากทำได้ หรือบางทีขี้เกียจ แบบไม่ต้องคิดมากมาย และความสุขจากนี้มันคืออะไร เคยมีคนบอกว่า แต่พอถึงจุดๆหนึ่ง ไม่ได้รู้สึกว่าจะช่วยให้มีความสุขมากมายไปกว่านี้ได้ แฟนก็เคยบอกอยู่ตลอด มีความสุขมากจนแผ่พลังถึงคนที่อยุ่ใกล้ๆได้เลย มีใครเป็นเหมือนกันบ้าง อยากมีรถ แต่สิ่งเหล่านั้นมันก็ดูช่างห่างไกลเหลือเกิน เรียนจบมอหก และไม่มีเงินด้วย ทั้งรถ มีเงินเก็บตามเป้าหมายอย่างที่ตั้งใจไว้ อีกแล้ว หรือเป้าหมาย เงิน มันก็ไม่ได้มีความหมายอีก ก็พยายามเติมเต็ม แต่มันก็มาเติมเต็มไม่ได้เลย
1,เด็กจบใหม่กับความเครียดจากครอบครัวและการหางาน,"ปล.ขอบคุณที่เข้ามาอ่านและแสดงความคิดเห็นกันนะคะ เขาคกดเรื่องเงินเดือนหนักมาก ขอใช้พื้นที่ตรงนี้ระบายนะคะ ที่บ้านก็ถามตลอดว่าได้งานรึยัง? ซึ่งเรารู้สึกอึดอัดกับการถามของเขาตรงนี้ค่ะ แต่บางครั้งก็ไม่ไหวจนต้องร้องไห้ออกมา... ตอนนี้คือฝืนยิ้มค่ะ แค่หางานก็ทำเราเครียดแล้วค่ะ คือเราเป็นลูกคนเล็ก เพิ่งเรียนจบมหาลัย ตอนนี้ยังหางานไม่ได้ อีกอย่างที่บ้านมองว่าเราเป็นภาระ เราเลยรู้สึกอึดอัดมากๆ (เราได้ยินกับหูเลยค่ะว่าเราคือภาระ) พยายามหาอะไรทำ ความรู้สึกตรงนี้ยังไงดีคะ เงินเดือนควรเริ่มที่ บาทได้แล้ว แต่นี้เจอแต่เริ่มต้น บาท แค่ค่าใช้จ่ายในชีวิตประจำวันก็ไม่พอแล้วค่ะ พ่อ แม่ พี่สาว เราควรจัดการกับอารมณ์ เราไม่อยากรู้สึกแย่ไปมากกว่านี้แล้ว ยุคนี้ จบใหม่ 20,000 15,000"
2,พนักงานออฟฟิศ สิ่งไหนที่เจ้านายทำแล้ว พนักงานรู้สึกแย่สุด,โทรใช้งานหลังเวลางาน เวลาลูกน้องทำผิด สามทุ่มยังโทร พอถึงเวลาไม่ได้เรื่อง เห็นผู้หญิงหน้าตาดี ชอบเบียดๆพนักงานสวยๆ ตัวเองทำอีกอย่างนึง โวยจากหลังบริษัท ถึงหน้าบริษัท ว่าจะมีโน่นนี่ดีๆ ทำงานสวนทางกับลูกน้อง สั่งลูกน้องอย่างนึง โมโหร้าย ตำหนิเสียงดัง มองหัวจรดเท้า พร้อมสายตาดูถูก ทำงานไม่เป็น ขี้หลี ถึงกับตะลึง จนน้ำลายจะไหล 1 ขาดสติ 2 หลอกลวงลูกน้อง 3 4 จ่ายเงินเดือนช้า จ่ายไม่ครบ 5 ประจำ 6 โม้ซะมาก 7 8 ขี้บ่น พูดประชด โบราณ ในคนเดียวกัน 9 ไม่มีอำนาจ ควบคุมใครไม่ได้เลย ปล่อยให้ลูกน้องจัดการกันเอง จนเละ คุมใครไม่ได้เลย 10 555 ขำ
3,มีวิธีรับมืออย่างไรเมื่อเจอกับคนที่ทำงานเก่งมากๆ แต่ไม่ค่อยเข้ากลุ่มเข้าสังคมอะไรเลย,หน้าที่รับผิดชอบของผมคือรักษาความสัมพันธ์ของคนในองค์กรโดยไม่มีการกำจัดฝ่ายใดฝ่ายหนึ่งออกไป งานนอกหน้าที่ที่ไม่ใช่งานตำแหน่งตนเอง แถมเป็นตำแหน่งที่ต้นสังกัดมอบหมายงานไม่ชัดเจน ที่คนในกลุ่มที่อายุมากๆทำไม่ค่อยได้ สามารถทำงานที่มอบหมายได้แทบทุกงาน จนหลังๆคนในกลุ่มอึดอัด คือคนในกลุ่มอึดอัด ในขณะที่ทุกคนในกลุ่มส่วนใหญ่อายุอยู่ในช่วง ผมลองสำรวจทั้งสำนักงาน รวมถึงยังมีความสามารถที่คนในกลุ่มนั้นขาดไม่ได้เลย คนในกลุ่มมีวัฒนธรรมว่าตอนเที่ยงต้องกินข้าวด้วยกันที่ห้อง หรือเป็นคนในกลุ่มเดียวกันกับน้องเขา ผมทราบดีว่าทุกความคิดเห็นที่ส่งมานั้นคืออะไรและต้องการสื่ออะไร หัวหน้ากลุ่มสารภาพว่าเคยตัดสินใจประเมินคะแนนต่ำๆเพื่อไม่ให้ผ่านงาน แต่ไม่ค่อยเข้ากับคนในกลุ่มเท่าไหร่ นี่คือคำพูดจากหัวหน้างานที่มาปรึกษาผมครับ ซึ่งผมก็เป็นหนึ่งในคนที่แย้งเช่นกันครับ เห็นหลายคนเข้าใจไปว่าผมคิดร้ายกับน้องเขา แม้งานที่ไม่ถนัด ผมอยู่คนละกลุ่ม เป็นเรื่องใกล้ตัวของคนที่เข้ามาใหม่ในสำนักงานได้ปีกว่าๆครับ ถ้าไม่มีใครชวนคุยก่อน ต้องชวนถึงจะยอมมากินด้วยกัน ทีนี้อยากลองถามว่าหากท่านเจอสถานการณ์แบบนี้ในที่ทำงาน ลองแชร์ดูครับ จนต้องทำให้บุกเบิกกันเองว่าตำแหน่งนี้ต้องทำอะไร ทำให้เริ่มสงสัยแล้วว่าต้นตอของปัญหาความอึดอัดมันมาจากส่วนไหน ยังไงก็ขอบคุณมากสำหรับคนที่เข้ามาแนะนำและแชร์ประสบการณ์ครับ แต่ทีนี้ข้อด้อยคือเขาเป็นคนที่ไม่พูดไม่คุยเลย หัวหน้ากลุ่มกล่าวว่าคนคนนี้เป็นคนที่ทำงานเก่งมากๆ แม้จะทุกลักทุเลในบางครั้ง ถึงเวลา ขนาดเวลาซื้อพิซซ่า เวลาสังสรรค์ดื่มเหล้า ถ้าชวนเขาก็ไปตามปกติ เลยไม่ชวนไปเลย ไม่รู้สึกอึดอัดอะไร แถมเขายังดูดีใจด้วยซ้ำที่ไม่ได้ไปด้วย แต่ก็ถูกเบื้องบนแย้งมาด้วยผลงานที่เขามีชัดเจนและใช้ได้จริงๆ ปรากฏว่าคนคนนี้เขาถูกมองจากคนนอกกลุ่มว่าอัธยาศัยดี เป็นสาเหตุที่มาตั้งกระทู้นี้ครับ อย่างไรก็ขอบคุณทุกความคิดเห็นครับ เวลา และอายุน้อยที่สุดในกลุ่ม ปี ปี ทำงานในตำแหน่งที่ตั้งขึ้นมาใหม่ สามารถทำงานได้รวดเร็ว ทำเสร็จก่อนเวลาเสมอ แต่เขาจะไม่มากินด้วยเลย เขาก็ไม่มากิน คุยสนุก เป็นผู้ชายคนเดียวในกลุ่มที่มีผู้หญิงเจ็ดคนและชายอีกหนึ่งคน มีเพียงคนเดียว คือความสามารถด้านเทคโนโลยีการสื่อสาร ไม่ค่อยถนัด แทบไม่เคยอยู่ล่วงเวลา หรือขนมมาเลี้ยงในห้อง จนต้องแก้ไขคะแนน คนนอกกลุ่มจะชอบและเอ็นดูเขามาก ปัญหาตอนนี้คืออะไร? ช่วงหลังจากตั้งกระทู้นี้
4,คนขายประกันที่บอกว่าไปเที่ยวเมืองนอก ได้เงินเดือนเป็นแสนมันจริงหรือค่ะ,แต่พี่คนขายประกันชวนให้มาขายประกันด้วยกัน แล้วโชว์รูปที่พี่เขาไปเมืองนอกมาให้เราดู พอดีว่าจะทำประกันให้พ่อกับแม่ ลักษณะการแต่งตัวของพี่เขาก็แต่งตัวดี เหมือนไอโซเลยอ่ะคะ ว่ารายได้เขาดีจริงหรอค่ะ ถ้าเราขายประกัน ได้ไปเที่ยวเมืองนอก ใครเคยลองขายดูบ้างค่ะ มันรวยจริงหรอค่ะ บอกเราว่าได้เงินเดือนเป็นแสน ไปมาหลายประเทศมาก มีรสนิยม อยากรู้จริงๆ เห็นเขาบอกว่า เราจะได้ส่วนแบ่ง 30% เป็นไงบ้าง
5,หมอไม่ได้รวยอย่างที่คิด งานหนักกว่าอาขีพอื่น2เท่า พ่อแม่อย่าบังคับลูกเรียนเลยครับ,"ผมเองตอนนี้เป็นหมอใช้ทุนปีแรกเงินเดือนๆนึง30,000ปลายๆเองรวมค่าเวรแล้ว. อย่าลืมเด็กคณะอื่นจบมาก่อนมีเวลาเก็บเงินก่อนหมอตั้ง2ปี. ตย.แฟนผมจบบัญชีตอนนี้ทำงานมา2ปีเก็บได้หลายแสนแล้ว(จบตอ. (เพือนพ่อที่เป็นหมอแต่ละคนที่รวยคือทำคลินิกเอง คุณพ่อผมทำงานแพทย์สายวิจัยไม่สนับสนุนให้ผมทำเอกชน เดือนยังเก็บได้ไม่ถึงแสนเลยเดี๋ยวคนจะคิดว่าหมอรวยต้องมาแก้ข่าว เพราะงั้นผมเลยปกติสุขดีกับการเรียนหมอ หมอถ้าอยากได้เงินเดือนหลักแสนมีสองทางครับ พ่อผมก็ไม่รวยครับแต่ก็มีฐานะมั่นคง ถ้าจะเทียบเงินเดือนผมว่าต้องเทียบกับคนจบป.โท แต่เห็นพ่อแม่หลายคนชอบบังคับลูกเรียนหมอ รวมค่าเวรจะได้ถึงแสนครับ(คือถ้าลูกคุณเรียนดีขนาดท็อปๆประเทศ เพราะฉะนั้นถามว่าหมอรวยไหม อีกอย่างต้องเข้าใจนะครับหมอเรียน6ปีจบ (มันมั่นคงแน่นอนครีบแต่ไม่รวย)เผื่อจะลบค่านิยมที่ไม่ค่อยดีออกได้บ้างครับ เห็นพ่อแล้วเราอยากเป็นหมอเองไม่มีใครบังคับ เพื่อนผมจากตอ.จบหลายคณะทั้งบัญชี มีความมุ่งมั่นทำอาชีพอื่นอายุ35ก็ได้หลักแสนครับ) เพราะพ่อเป็นหมอ ที่ตั้งกระทู้อยากให้คนมาเรียนหมอเพราะอยากเรียนจริงๆ ถ้าอยากรวยให้ไปทำธุรกิจ เพราะเด็กคณะอื่นเรียน4ปี เรียนเฉพาะทางระหว่างนั้นเงินเดือนรวมเวรแบบเอาสบายๆไม่โหมมากก็จะได้ประมาณตอนใช้ทุนหรือมากกว่านิดหน่อย ขอไม่พูดถึงหมอเอกชนนะครับ เอาเป็นว่าถ้าเขาเก่งพอสอบหมอติด คือไม่รวยขนาดส่งลูกเรียนนานาชาติเหมือนนักธุรกิจ เงินเดือนผ่านครับแต่ไม่รวย คำนวณค่าเวรชม.ละ60บาท (ทำงานเฉลี่ยวันละ18ชม.เหนื่อยมากเจียนตายครับ เพราะบ้านผมไม่ใช่แนว อย่างผมค่อนข้างแฮปปี้ ผมก็ไม่ ส่วนมากเด็กถ้าเรียนดีจะอยู่กรอบ ตอนนี้ทำมา5 ไปเที่ยวตปท.ได้บ้างสองปีครั้ง ไม่ใช่เพราะแค่รวย เงินดีทั้งนั้น เรียกได้ว่ามีฐานะมั่นคงแน่นอน ไม่ก็ทำธุรกิจอย่างอื่น คนอื่นเขาทำงานวันละ7-8ชม.) อยากบอกว่าทุกคนได้งานดี คงถึงแสนครับ โหมเวรหนัก มั่นคง เรียนอะไรก็ได้ดีครับถ้าเก่งจริงๆแบบเพื่อนๆผม แบบเจียนตาย ไปใช้ทุนจังหวัดไกลมากๆ ใช้ทุนเสร็จ น่าจะอายุ30-35 มันทรมานเด็กนะครับ เขาเรียนคณะอะไรก็รุ่งครับ ไกลพ่อแม่พี่น้อง สอง ทั้งที่พ่อแม่บอกเรียนวิศวะมั๊ย แต่ไม่ค่อยมีเวลา เวลา คำนวณ จากนั้นเรียนเฉพาะทางเสร็จ แต่ก็ซื้อบ้านเดี่ยว ซื้อที่ได้ ซึ่งจะเปิดคลินิกได้มันก็เสี่ยงเจ๊งอีก) ใครมีอะไรถามได้ครับ 4"
6,มีใครเป็นเจ้าของกิจการอายุไม่มากบ้างครับ รายได้ต่อเดือนประมาณเท่าไรกันบ้างครับ,กิจการของตัวเองรายได้น่าจะดีกว่านั่งรับเงินเดือน กลุ่มคนกล้าที่ออกมาทำกิจการของตัวเอง ทำกิจการตัวเอง อาจเพราะวัยที่เขาไม่ชินว่าในเนทมีจริงๆมาตอบตามจริง ปล.คนกินเงินเดือนอายุน้อย แต่ถ้าคิดว่าตัวเองยังอายุน้อยอยู่มาตอบได้เลยครับ รายได้ต่อเดือนประมาณเท่าไรกันบ้างครับ (หรือจะเล่าถึงรายได้สมัยที่อายุน้อยอยุ่ก็ได้ครับ) และทำธุรกิจประเภทไหนกันบ้างครับ เวลาเอากระทู้ในนี้ไปอ้างพ่อแม่ ถ้าคิดว่ารายได้สู้พวกเขาได้ ในนี้มีคนเก่งๆหลายคน อยากจะตั้งกิจการเองบ้าง กลับโดนว่าในเนทไม่น่าเชื่อถือ คนประสบความสำเร็จ ออกไปทำเองจริงๆแล้วมันประมาณไหนบ้างครับ เห็นอ่านหลายกระทู้ หลักต่อเดือนกันมากมาย มาคุยเรื่องความสำเร็จกันจริงๆ เอามาแย้งผมได้เลยนะครับ และกำไรไม่จำกัด บ.ตั้งหลักได้แล้วก็สบาย ไม่จำกัดอายุแล้วกันนะครับ อยากรู้ว่า ไม่ต้องเป็นลูกจ้างเขา เลยอยากรู้ว่า แต่ผมยังมองว่า อาจจะเสี่ยงตอนแรกๆ 30 6 ได้ทุกวงการเลยนะครับ แต่ถ้าติดลมบน
7,รู้สึกหมดไฟ ไม่มีความสุขในการทำงาน อยากลาออก,ผมไม่รู้ว่าจะลาออกมาทำอะไร ทำไมชีวิตที่เหลืออยู่อีกไม่กี่สิบปีต้องมานั่งเครียดทรมานกับการทำงานที่ไม่ชอบด้วยวะ นี่เรามานั่งทำอะไรอยู่ตรงนี้วะเนี่ย คนที่มีความฝันเค้าหากันจากไหน ผมกลัวว่าสมมุติออกมาหาอะไรทำเองแล้วไปไม่รอด ผมขอเล่าท้าวความเรื่องรายละเอียดส่วนตัวและที่มาของปัญหาก่อนนะครับ ตอนนี้ผมมีปัญหาหมดไฟในการทำงานเป็นอย่างมากเลยครับ บริษัทมีสวัสดิการดี คนก็ไม่มีลูกน้อง ผมไม่มีความอินกับสิ่งที่ทำอยู่เลย แต่ทำเพื่อหาเลี้ยงชีพเท่านั้น ผมไม่มีความฝันหรือความชอบ ภรรยาทำงานด้าน ผมมักจะเอามันมาคำนวนว่าถ้าลาออกมาตั้งหลักพักเบรคก่อนสัก กลัวว่าหางานใหม่มันจะไม่ได้เงินเท่านี้อีกแล้ว แต่อยากจะเล่าให้ฟังว่าถ้าผมลาออกสถานการณ์การเงินในบ้านจะเป็นอย่างไร) เราจะรู้ได้ยังไงว่าเราชอบอะไร หัวหน้าดี เพื่อนร่วมงานดี เงินเดือนประมาณ ปัญหาหลักๆ ตั้งแต่เย็นวันอาทิตย์ผมจะเริ่มออกอาการว่าไม่อยากไปทำงานเลย ปัญหาใหญ่เลยคือ ผมไต่เต้ามาจากเงินเดือน ต้องพยายามอย่างหนักกว่าจะได้เงินเดือนเท่านี้ คนกำลังจะเข้าเรียนปีหน้านี้ครับ หรือผมควรจะยอมรับชะตากรรมก้มหน้าก้มตาทำงานไป ความฝันอะไรลมๆ เป็นพนักงานออฟฟิสในบริษัทต่างชาติแห่งหนึ่ง 1 แต่ไม่มีลูกน้องครับ ไม่ได้มีความรักความชอบ ชีวิตเราเกิดมาทำไม อยากลาออกมากๆ ตอนนี้ผมมีเงินกองทุนสำรองเลี้ยงชีพประมาณ ล้าน และเงินเก็บส่วนตัวอีกประมาณเกือบๆ ล้าน เดือนก็ไม่น่ามีปัญหาอะไรมั้ง 1 (ผมกับภรรยาแยกกระเป๋ากันนะครับ
8,10 คำขอพิลึกจากลูกค้าที่พนักงานโรงแรมปวดกบาลที่สุด!?,คำร้องเรียนของลูกค้าบางคนก็พิสดารล้านเจ็ดจนลืมไม่ลงเหมือนกัน แต่บางคนก็แสบจนอยากจะกราบอีกเหมือนกัน...แต่เป็นกราบลา เกิดเป็นพนักงานโรงแรมต้องเจอลูกค้าร้อยพ่อพันแม่ ว่าคำขอของลูกค้าข้อไหนที่พิลึกพิลั่นปั้นโอ่ง 4.ขอน้ำผึ้งมาใส่อ่างอาบน้ำ 5.ขอกระดิ่งผูกคอแพะมาไว้กล่อมนอน 1.ผ้าปูเตียงขาวเกินไป 2.ทะเลสีน้ำเงินจัดเกินไป เว็บไซต์บริการค้นหาตั๋วเครื่องบินและที่พักระดับโลก 1.ให้เสิร์ฟน้ำชั่วโมงละแก้ว 3.ให้เอาน้ำแร่มาเติมชักโครกแทนน้ำประปา 8.ขอนมช็อกโกแลตหนึ่งอาบน้ำ 4.อ่างอาบน้ำใหญ่ไป 8.ในเมนูอาหารมังสวิรัติไม่มีสเต็กให้เลือก 9.บริกรหล่อเกินไป 10.ไม่มีห้องฮันนีมูนให้แม่เจ้าสาว 7.มองไม่เห็นวิวทะเล บางคนก็ดีจนน่ากราบ 7.ขอหนูตายหนึ่งตัว (แขกคนนั้นนอนคนเดียว) จากนิตยสารสไปซี่ เหมาะแก่การจารึกไว้ในหลีบสมองที่สุด 6.สั่งขาไก่หนึ่งที่ 10.ขอซุปจระเข้ อันดับคำร้องเรียนที่น่าหมั่นไส้ที่สุดได้แก่ 3.ไอศกรีมเย็นเกิน 5.ขอส่วนลดเพราะนอนไม่หลับ เนื่องจากแฟนสาวกรนเสียงดัง 6.ขอเงินคืน เลยให้พนักงานโรงแรมทั่วโลกช่วยกันโหวต แต่ให้เสิร์ฟทั้งคืน 2.ขอแตงกวาวันละ 9.ขอหมอน (โรงแรมตั้งอยู่กลางกรุงลอนดอน) ใครเคยถูกร้องเรียนด้วยเรื่องที่เพี้ยนกว่านี้ 10 คำขอนั้นก็คือ (ไม่รู้จะเอาไปเพื่อ?) พนักงานเลยร่วมด้วยช่วยแฉต่อไปว่า 10 เพราะสุนัขที่พามาด้วยไม่ชอบโรงแรมนี้ ปีนี้ 'สกาย สแกนเนอร์' 15 ลูก แต่ต้องเป็นข้างขวาเท่านั้น 16 ใบ 1 ชาม พนักงานเขาอยากรู้มาก
9,สรุปแล้ว.ปัญหาแบงค์พาณิชย์หลอกเงินฝากเป็นประกันชีวิตเอาเป้าเข้าตัวเอง บ.ประกันได้เงิน คนมันโง่เอง.แบงค์ชาติไม่เกี่ยวหรือ,คนมันโง่เอง.แบงค์ชาติไม่เกี่ยวหรือ ผู้ว่าแบงค์ชาติคนต่อไป การที่แบงค์หลอกขายประกันก็เป็นหน้าที่ของแงค์ชาติเหมือนกัน แบงค์ชาติไม่ทำอะไรเลยนิ แบงค์ชาติอวดดีถือว่าตัวเองฉลาด ถ้าทำไม่ได้ก็ไม่ต้องมีแบงค์ชาติ แบงค์ชาติ แบงค์ชาติ แบงค์ชาติไม่มีสิทธิ์ไปยุ่งแบงค์แบงค์.. งั้นแบงค์ชาติไม่มีสิทธิ์มาสั่งให้ แบงค์ชาติมีอำนาจ แบงค์ชาติทำได้มั้ยย ไม่ใช่หน้าที่แบงค์ชาติ. เอาเรื่องของแบงค์ชาติตรงๆ แบงค์ชาติท่องสคิปมาอ่านทุกครั้ง แต่แบงวค์ชาติยังรับเงินเดือนตามปกติ ไม่เคยมีคำขอโทษออกจากแบงค์ชาติ แต่แบงค์ชาติไม่ลอยตัวค่าเงิน ยี่ห้อแบงค์ชาติ แบงค์ชาติจะบอกว่า แบงค์ชาติอีกมั้ยย แบงค์ชาติ แบงค์ชาติก็ไม่มายุ่ง แบงค์ชาติก็ต้องจัดการให้ได้ คนที่บอกว่า คนแก่ๆ ความคิดถึงความเป็นคน เด่ยวจะต้องมีคนบอกว่า เหมือนเอายาให้คนที่ตายแล้ว โยกคนมาทำงานในกรม คนพอละ คนเยอะแยะก็ไม่เห็นมีงานอะไรเลย เป็นคนต่อไป บ.ประกันได้เงิน ดูแลเงินเข้าออก บ.ประกันทั้งนั้น แบงค์จ่ายเงินสมบทเข้ากองทุนฟื้นฟูนะ ขายได้แค่ประกันอุบิติเหตุ และประกันอัคคีภัยที่คุ้มครองบ้าน เอาเงินจะไปฝาก บ.ประกันได้เงินไปใช้ฟรีๆแล้ว มันบูชาเงินมากกว่า และเงินไหลเข้า เงินหมดคลังคนไทยเป็นหนี้ทั้งประเทศ ส่วนคนรวยโยกเงินออกจากบริษัท ปัญหาแบงค์หลอกขายประกัน สรุปแล้ว.ปัญหาแบงค์พาณิชย์หลอกเงินฝากเป็นประกันชีวิตเอาเป้าเข้าตัวเอง เพราะทำที่ธนาคาร เพราะยุ่งไปก็เข้าตัวเอง ไม่ทำอะไร ไม่ผิดไม่เคยทำอะไรผิดเลย คิดว่าตัวเองเก่งรับือได้ ตัวเองสำนึกผิด
